"cod_alumno"|"ciudad"|"sexo_f"|"puntaje_ingreso"|"promedio_notas"|"total_creditos_logrados"|"biologia"|"matematicas"|"filosofia"|"fisica"|"historia"|"quimica"|"lenguaje"|"geografia"|"idiomas"|"sociales"|"lecturacritica"|"ciencias"|"razonamiento"|"competenciaciud"|"valor_matricula"|"valor_servicios"|"ingresos"|"vive_familia"|"estrato"|"estrato_vivira"|"actualmente_trabaja"|"valor_matric_colegio"|"ano_pago_colegio"|"ingresos_familiares"|"ano_ingresos"|"numero_aportantes"|"numero_hermanos"|"numero_hermanos_est_superior"|"edad_inicio"|"edad_reporte"|"anio_reporte"|"clase"
217036067|IPIALES                  |0|53.0|2.5666666666666664|16.0|0.000|50.000|0.000|0.000|0.000|0.000|0.000|0.000|60.000|49.000|51.000|59.000|0.000|0.000|0|0|0|1|1|1|0|0|0|350000|2011.0|1.0|0.0|0.0|17.0|19.0|2018.0|
217151008|TUMACO                   |0|48.72|2.428|34.0|0.000|44.000|0.000|0.000|0.000|0.000|0.000|0.000|44.000|45.000|51.000|53.000|49.000|41.000|0|0|0|1|1|1|0|0|2015|650000|2016.0|1.0|4.0|0.0|18.0|20.0|2018.0|
217151029|TUMACO                   |0|46.0|1.6636363636363634|9.0|0.000|46.000|0.000|0.000|0.000|0.000|0.000|0.000|49.000|47.000|43.000|48.000|0.000|0.000|0|0|0|1|2|1|0|0|2016|4320000|2016.0|1.0|0.0|0.0|18.0|19.0|2018.0|
217151031|TUMACO                   |1|42.35|2.4909090909090907|15.0|39.000|47.000|30.000|40.000|0.000|45.000|40.000|0.000|37.000|44.000|0.000|0.000|0.000|0.000|0|0|0|1|1|1|0|0|2013|14400000|2016.0|1.0|2.0|0.0|22.0|23.0|2018.0|
217151043|TUMACO                   |0|52.05|2.8058823529411767|30.0|0.000|50.000|0.000|0.000|0.000|0.000|0.000|0.000|58.000|47.000|54.000|52.000|0.000|0.000|0|0|0|1|1|1|0|360000|2016|12000000|2016.0|1.0|0.0|0.0|17.0|19.0|2018.0|
217151047|TUMACO                   |0|47.23|2.5|14.0|0.000|49.000|0.000|0.000|0.000|0.000|0.000|0.000|45.000|50.000|45.000|47.000|49.000|54.000|0|0|0|1|1|1|0|15000|2014|25000000|2014.0|3.0|6.0|0.0|22.0|23.0|2018.0|
217155097|PASTO                    |1|67.25|3.048|48.0|0.000|69.000|0.000|0.000|0.000|0.000|0.000|0.000|56.000|65.000|73.000|64.000|0.000|0.000|0|0|0|1|1|0|0|0|2012|2750000|2015.0|1.0|2.0|0.0|22.0|24.0|2018.0|
217160061|PASTO                    |0|70.4|2.7899999999999996|13.0|0.000|72.000|0.000|0.000|0.000|0.000|0.000|0.000|65.000|61.000|69.000|74.000|0.000|0.000|0|0|0|1|2|2|0|10|2017|9600000|2018.0|3.0|2.0|1.0|18.0|19.0|2018.0|
217160144|PASTO                    |0|68.5|2.9400000000000004|34.0|0.000|71.000|0.000|0.000|0.000|0.000|0.000|0.000|73.000|65.000|59.000|74.000|0.000|0.000|0|0|0|1|2|2|0|250000|2016|25000000|2016.0|1.0|1.0|0.0|19.0|20.0|2018.0|
217160145|PASTO                    |0|71.65|1.7249999999999999|5.0|0.000|78.000|0.000|0.000|0.000|0.000|0.000|0.000|60.000|73.000|64.000|74.000|0.000|0.000|0|0|0|0|2|2|1|0|2014|8400000|2016.0|2.0|2.0|0.0|21.0|22.0|2018.0|
217160197|PASTO                    |0|68.62|2.3411764705882354|16.0|0.000|76.000|0.000|0.000|0.000|0.000|0.000|0.000|54.000|60.000|67.000|68.000|75.000|61.000|0|0|0|1|2|1|0|0|2015|7200000|2016.0|2.0|1.0|0.0|18.0|20.0|2018.0|
